Date,Flux,Nb appels reçus,nb_ae,nb_ae_tr90,DMR,dmt,Year,Mois,Semaine,Year_Sem,jsem,creneau,BTS,cs_ae_tr90,cs_ae,cs_tr90
2022-06-15,PILOTAGE_TECHNICIEN,64,64,41,67,305,2022,6,24,2022_24,Mercredi,08:00,True,41,64,64.0625
2022-06-15,VALIDATION_CR,9,9,7,47,313,2022,6,24,2022_24,Mercredi,08:00,True,48,73,65.75342465753424
2022-06-15,PILOTAGE_TECHNICIEN,63,63,59,37,292,2022,6,24,2022_24,Mercredi,08:30,True,107,136,78.67647058823529
2022-06-15,VALIDATION_CR,37,37,36,21,304,2022,6,24,2022_24,Mercredi,08:30,True,143,173,82.65895953757226
2022-06-15,PILOTAGE_TECHNICIEN,57,56,30,100,352,2022,6,24,2022_24,Mercredi,09:00,True,173,229,75.54585152838428
2022-06-15,VALIDATION_CR,62,62,43,75,301,2022,6,24,2022_24,Mercredi,09:00,True,216,291,74.22680412371135
2022-06-15,PILOTAGE_TECHNICIEN,48,47,22,85,378,2022,6,24,2022_24,Mercredi,09:30,True,238,338,70.41420118343196
2022-06-15,VALIDATION_CR,61,58,40,72,368,2022,6,24,2022_24,Mercredi,09:30,True,278,396,70.2020202020202
2022-06-15,PILOTAGE_TECHNICIEN,56,56,33,86,459,2022,6,24,2022_24,Mercredi,10:00,True,311,452,68.80530973451327
2022-06-15,VALIDATION_CR,41,41,23,87,303,2022,6,24,2022_24,Mercredi,10:00,True,334,493,67.74847870182555
2022-06-15,PILOTAGE_TECHNICIEN,46,45,28,67,360,2022,6,24,2022_24,Mercredi,10:30,True,362,538,67.28624535315984
2022-06-15,VALIDATION_CR,50,50,34,66,347,2022,6,24,2022_24,Mercredi,10:30,True,396,588,67.3469387755102
2022-06-15,PILOTAGE_TECHNICIEN,49,49,49,33,380,2022,6,24,2022_24,Mercredi,11:00,True,445,637,69.85871271585557
2022-06-15,VALIDATION_CR,70,69,67,33,305,2022,6,24,2022_24,Mercredi,11:00,True,512,706,72.52124645892351
2022-06-15,PILOTAGE_TECHNICIEN,54,54,49,37,368,2022,6,24,2022_24,Mercredi,11:30,True,561,760,73.81578947368422
2022-06-15,VALIDATION_CR,62,61,59,31,301,2022,6,24,2022_24,Mercredi,11:30,True,620,821,75.51766138855055
2022-06-15,PILOTAGE_TECHNICIEN,46,45,27,90,357,2022,6,24,2022_24,Mercredi,12:00,True,647,866,74.71131639722863
2022-06-15,VALIDATION_CR,48,48,18,113,353,2022,6,24,2022_24,Mercredi,12:00,True,665,914,72.75711159737418
2022-06-15,PILOTAGE_TECHNICIEN,37,37,25,72,369,2022,6,24,2022_24,Mercredi,12:30,True,690,951,72.55520504731862
2022-06-15,VALIDATION_CR,45,44,28,72,328,2022,6,24,2022_24,Mercredi,12:30,True,718,995,72.1608040201005
