Date,Flux,Nb appels reçus,nb_ae,nb_ae_tr90,DMR,dmt,Year,Mois,Semaine,Year_Sem,jsem,creneau,BTS,cs_ae_tr90,cs_ae,cs_tr90
2022-06-15,PILOTAGE_TECHNICIEN,64,64,41,67,305,2022,6,24,2022_24,Mercredi,08:00,True,41,64,64.0625
2022-06-15,PILOTAGE_TECHNICIEN,63,63,59,37,292,2022,6,24,2022_24,Mercredi,08:30,True,100,127,78.74015748031496
2022-06-15,PILOTAGE_TECHNICIEN,57,56,30,100,352,2022,6,24,2022_24,Mercredi,09:00,True,130,183,71.03825136612022
2022-06-15,PILOTAGE_TECHNICIEN,48,47,22,85,378,2022,6,24,2022_24,Mercredi,09:30,True,152,230,66.08695652173913
2022-06-15,PILOTAGE_TECHNICIEN,56,56,33,86,459,2022,6,24,2022_24,Mercredi,10:00,True,185,286,64.6853146853147
2022-06-15,PILOTAGE_TECHNICIEN,46,45,28,67,360,2022,6,24,2022_24,Mercredi,10:30,True,213,331,64.35045317220543
2022-06-15,PILOTAGE_TECHNICIEN,49,49,49,33,380,2022,6,24,2022_24,Mercredi,11:00,True,262,380,68.94736842105263
2022-06-15,PILOTAGE_TECHNICIEN,54,54,49,37,368,2022,6,24,2022_24,Mercredi,11:30,True,311,434,71.6589861751152
2022-06-15,PILOTAGE_TECHNICIEN,46,45,27,90,357,2022,6,24,2022_24,Mercredi,12:00,True,338,479,70.56367432150313
2022-06-15,PILOTAGE_TECHNICIEN,37,37,25,72,369,2022,6,24,2022_24,Mercredi,12:30,True,363,516,70.34883720930233
2022-06-15,PILOTAGE_TECHNICIEN,43,41,10,119,367,2022,6,24,2022_24,Mercredi,13:00,True,373,557,66.96588868940754
2022-06-15,PILOTAGE_TECHNICIEN,33,33,8,119,392,2022,6,24,2022_24,Mercredi,13:30,True,381,590,64.57627118644068
2022-06-15,PILOTAGE_TECHNICIEN,54,53,16,132,356,2022,6,24,2022_24,Mercredi,14:00,True,397,643,61.74183514774495
2022-06-15,PILOTAGE_TECHNICIEN,52,50,24,110,359,2022,6,24,2022_24,Mercredi,14:30,True,421,693,60.750360750360755
2022-06-15,PILOTAGE_TECHNICIEN,58,58,35,86,429,2022,6,24,2022_24,Mercredi,15:00,True,456,751,60.719041278295606
2022-06-15,PILOTAGE_TECHNICIEN,46,46,17,183,394,2022,6,24,2022_24,Mercredi,16:00,True,473,797,59.34755332496863
2022-06-15,PILOTAGE_TECHNICIEN,47,47,42,44,399,2022,6,24,2022_24,Mercredi,16:30,True,515,844,61.01895734597157
2022-06-15,PILOTAGE_TECHNICIEN,48,47,4,174,320,2022,6,24,2022_24,Mercredi,17:00,True,519,891,58.24915824915825
2022-06-15,PILOTAGE_TECHNICIEN,55,55,20,129,379,2022,6,24,2022_24,Mercredi,17:30,True,539,946,56.97674418604651
2022-06-15,PILOTAGE_TECHNICIEN,23,23,16,86,339,2022,6,24,2022_24,Mercredi,18:00,True,555,969,57.27554179566563
2022-06-15,PILOTAGE_TECHNICIEN,7,7,1,232,308,2022,6,24,2022_24,Mercredi,19:00,True,556,976,56.9672131147541
2022-06-15,PILOTAGE_TECHNICIEN,2,2,2,17,209,2022,6,24,2022_24,Mercredi,19:30,True,558,978,57.05521472392638
